gvkey,iid,datadate,tic,cshtrd,prccd,prchd,prcld,prcod
003138,01,20060103,COKE,9064.0000,43.9200,44.0300,43.2500,44.0300
003138,01,20060104,COKE,6771.0000,44.1000,44.2800,43.3400,44.0000
003138,01,20060105,COKE,13606.0000,43.7000,44.2500,43.7000,43.7200
003138,01,20060106,COKE,12612.0000,43.5000,44.1100,43.5000,43.5000
003138,01,20060109,COKE,11113.0000,44.0100,44.6100,43.5000,43.5000
003138,01,20060110,COKE,6244.0000,44.7500,44.7500,44.1700,44.4400
003138,01,20060111,COKE,8579.0000,44.1210,44.7500,44.1100,44.7500
003138,01,20060112,COKE,13889.0000,43.8000,44.7500,43.5100,44.3700
003138,01,20060113,COKE,5345.0000,44.0100,44.6990,43.6900,44.0000
003138,01,20060117,COKE,9100.0000,43.9600,44.2600,43.8400,44.2600
003138,01,20060118,COKE,9642.0000,44.0600,44.4500,43.8100,44.4500
003138,01,20060119,COKE,5875.0000,44.0700,44.6600,43.9500,44.6600
003138,01,20060120,COKE,10602.0000,43.5900,44.7100,43.5000,44.5900
003138,01,20060123,COKE,4131.0000,43.3560,44.1299,43.3560,43.5000
003138,01,20060124,COKE,6938.0000,45.1300,45.1300,43.1500,43.1500
003138,01,20060125,COKE,6284.0000,45.1900,45.3200,44.8900,45.2300
003138,01,20060126,COKE,9433.0000,45.3000,45.5700,45.2068,45.5700
003138,01,20060127,COKE,5220.0000,46.0000,46.0000,45.1015,45.1015
003138,01,20060130,COKE,4235.0000,45.0400,46.2000,44.6900,46.0000
003138,01,20060131,COKE,12540.0000,44.9500,45.1400,44.0600,44.1400
003138,01,20060201,COKE,2200.0000,45.0000,45.0000,44.9500,44.9500
003138,01,20060202,COKE,28034.0000,45.3810,45.8700,44.1800,44.4000
003138,01,20060203,COKE,13756.0000,45.6000,46.0000,44.6200,45.0900
003138,01,20060206,COKE,8484.0000,45.6800,46.1000,45.1500,46.1000
003138,01,20060207,COKE,31594.0000,46.3800,46.4200,45.3600,45.6800
003138,01,20060208,COKE,7657.0000,46.6500,46.6800,46.2310,46.3500
003138,01,20060209,COKE,28304.0000,46.3100,46.9100,46.2310,46.8000
003138,01,20060210,COKE,18108.0000,46.4900,46.7700,46.2300,46.7700
003138,01,20060213,COKE,41251.0000,46.3500,46.9900,46.2100,46.9900
003138,01,20060214,COKE,14439.0000,46.7500,46.8000,46.3700,46.4000
003138,01,20060215,COKE,14961.0000,46.8000,47.0000,46.4128,46.9500
003138,01,20060216,COKE,12421.0000,47.0000,47.0000,46.6400,46.8000
003138,01,20060217,COKE,18186.0000,46.4400,47.3800,46.2300,47.3800
003138,01,20060221,COKE,56272.0000,46.2400,46.9292,45.3700,46.2500
003138,01,20060222,COKE,13739.0000,46.4500,46.6500,46.0200,46.0200
003138,01,20060223,COKE,20744.0000,46.8900,47.3000,45.3100,46.2800
003138,01,20060224,COKE,13313.0000,47.0000,47.2800,46.6300,47.2800
003138,01,20060227,COKE,9531.0000,46.1100,47.2300,45.8400,47.2300
003138,01,20060228,COKE,9502.0000,45.2300,46.4080,45.0200,46.3400
003138,01,20060301,COKE,4353.0000,46.0000,46.0000,45.2600,45.2600
