 
                                                                                                                                                                                                                                                                
 
gvkey     iid    datadate    tic                      prccd                 prcod

003138    01     20060103    COKE                   43.9200               44.0300
003138    01     20060104    COKE                   44.1000               44.0000
003138    01     20060105    COKE                   43.7000               43.7200
003138    01     20060106    COKE                   43.5000               43.5000
003138    01     20060109    COKE                   44.0100               43.5000
003138    01     20060110    COKE                   44.7500               44.4400
003138    01     20060111    COKE                   44.1210               44.7500
003138    01     20060112    COKE                   43.8000               44.3700
003138    01     20060113    COKE                   44.0100               44.0000
003138    01     20060117    COKE                   43.9600               44.2600
003138    01     20060118    COKE                   44.0600               44.4500
003138    01     20060119    COKE                   44.0700               44.6600
003138    01     20060120    COKE                   43.5900               44.5900
003138    01     20060123    COKE                   43.3560               43.5000
003138    01     20060124    COKE                   45.1300               43.1500
003138    01     20060125    COKE                   45.1900               45.2300
003138    01     20060126    COKE                   45.3000               45.5700
003138    01     20060127    COKE                   46.0000               45.1015
003138    01     20060130    COKE                   45.0400               46.0000
003138    01     20060131    COKE                   44.9500               44.1400
003138    01     20060201    COKE                   45.0000               44.9500
003138    01     20060202    COKE                   45.3810               44.4000
003138    01     20060203    COKE                   45.6000               45.0900
003138    01     20060206    COKE                   45.6800               46.1000
003138    01     20060207    COKE                   46.3800               45.6800
003138    01     20060208    COKE                   46.6500               46.3500
003138    01     20060209    COKE                   46.3100               46.8000
003138    01     20060210    COKE                   46.4900               46.7700
003138    01     20060213    COKE                   46.3500               46.9900
003138    01     20060214    COKE                   46.7500               46.4000
003138    01     20060215    COKE                   46.8000               46.9500
003138    01     20060216    COKE                   47.0000               46.8000
003138    01     20060217    COKE                   46.4400               47.3800
003138    01     20060221    COKE                   46.2400               46.2500
003138    01     20060222    COKE                   46.4500               46.0200
003138    01     20060223    COKE                   46.8900               46.2800
003138    01     20060224    COKE                   47.0000               47.2800
003138    01     20060227    COKE                   46.1100               47.2300
003138    01     20060228    COKE                   45.2300               46.3400
003138    01     20060301    COKE                   46.0000               45.2600
003138    01     20060302    COKE                   45.2900               46.2700
003138    01     20060303    COKE                   44.5700               45.0000
003138    01     20060306    COKE                   44.9800               45.0600
003138    01     20060307    COKE                   44.2000               45.1500
003138    01     20060308    COKE                   43.4600               44.1100
003138    01     20060309    COKE                   43.4100               43.2500
003138    01     20060310    COKE                   43.5800               43.1200
003138    01     20060313    COKE                   43.9900               44.0000
003138    01     20060314    COKE                   44.0500               44.3600
003138    01     20060315    COKE                   44.0200               44.4400
003138    01     20060316    COKE                   44.1700               44.1460
003138    01     20060317    COKE                   44.2500               44.3900
003138    01     20060320    COKE                   44.1900               44.5500
003138    01     20060321    COKE                   43.8200               44.5900
003138    01     20060322    COKE                   44.0000               43.8500
003138    01     20060323    COKE                   44.0000               43.7000
003138    01     20060324    COKE                   44.0000               43.8000
003138    01     20060327    COKE                   44.5000               44.3100
003138    01     20060328    COKE                   44.3600               44.8300
003138    01     20060329    COKE                   44.5900               44.1000
003138    01     20060330    COKE                   44.6600               44.9400
003138    01     20060331    COKE                   46.0000               45.0500
003138    01     20060403    COKE                   45.6000               46.0000
003138    01     20060404    COKE                   45.1400               45.2900
003138    01     20060405    COKE                   44.4000               45.5400
003138    01     20060406    COKE                   44.6500               44.5500
003138    01     20060407    COKE                   44.9900               45.0900
003138    01     20060410    COKE                   44.4700               45.2500
003138    01     20060411    COKE                   43.9100               44.8400
003138    01     20060412    COKE                   44.2500               44.2100
003138    01     20060413    COKE                   44.6200               43.9000
003138    01     20060417    COKE                   43.9500               44.6200
003138    01     20060418    COKE                   44.1600               43.6400
003138    01     20060419    COKE                   45.1200               44.6100
003138    01     20060420    COKE                   45.1400               44.8100
003138    01     20060421    COKE                   46.0000               45.5900
003138    01     20060424    COKE                   46.2200               46.0000
003138    01     20060425    COKE                   46.7500               46.0500
003138    01     20060426    COKE                   47.1400               46.9000
003138    01     20060427    COKE                   47.6800               46.5800
003138    01     20060428    COKE                   48.2000               47.5000
003138    01     20060501    COKE                   47.6800               48.0300
003138    01     20060502    COKE                   47.8400               47.8300
003138    01     20060503    COKE                   48.1400               47.8500
003138    01     20060504    COKE                   47.8400               47.7400
003138    01     20060505    COKE                   47.9700               47.9500
003138    01     20060508    COKE                   47.9700               48.1600
003138    01     20060509    COKE                   48.0400               47.5800
003138    01     20060510    COKE                   48.0000               48.4300
003138    01     20060511    COKE                   47.4000               47.5900
003138    01     20060512    COKE                   46.5100               47.1300
003138    01     20060515    COKE                   46.5300               46.3100
003138    01     20060516    COKE                   46.6700               46.2200
003138    01     20060517    COKE                   46.8600               46.1700
003138    01     20060518    COKE                   46.8200               46.5200
003138    01     20060519    COKE                   46.1900               46.1200
003138    01     20060522    COKE                   47.0200               45.5100
003138    01     20060523    COKE                   47.4700               47.4000
003138    01     20060524    COKE                   48.0100               47.0000
003138    01     20060525    COKE                   48.5000               48.2000
003138    01     20060526    COKE                   48.7300               48.5000
003138    01     20060530    COKE                   48.4300               48.2300
003138    01     20060531    COKE                   48.8500               48.5100
003138    01     20060601    COKE                   49.3600               48.9900
003138    01     20060602    COKE                   49.1100               49.3800
003138    01     20060605    COKE                   48.4800               48.9300
003138    01     20060606    COKE                   47.9600               48.1100
003138    01     20060607    COKE                   48.4000               47.9400
003138    01     20060608    COKE                   49.1000               48.3500
003138    01     20060609    COKE                   49.4400               49.6100
003138    01     20060612    COKE                   49.6200               49.9500
003138    01     20060613    COKE                   49.7100               49.6300
003138    01     20060614    COKE                   49.3000               49.7100
003138    01     20060615    COKE                   49.9100               49.5400
003138    01     20060616    COKE                   49.8400               49.6800
003138    01     20060619    COKE                   49.1600               49.7000
003138    01     20060620    COKE                   49.1400               49.1200
003138    01     20060621    COKE                   49.6600               49.5600
003138    01     20060622    COKE                   49.7100               49.3500
003138    01     20060623    COKE                   49.7200               49.8000
003138    01     20060626    COKE                   50.0400               50.0000
003138    01     20060627    COKE                   49.8200               50.1500
003138    01     20060628    COKE                   50.0100               49.5300
003138    01     20060629    COKE                   51.7200               50.2600
003138    01     20060630    COKE                   50.7700               52.2400
003138    01     20060703    COKE                   50.8100               50.5000
003138    01     20060705    COKE                   51.7400               50.9400
003138    01     20060706    COKE                   52.4600               52.2300
003138    01     20060707    COKE                   52.1500               51.8400
003138    01     20060710    COKE                   53.2800               51.8100
003138    01     20060711    COKE                   54.8100               52.7000
003138    01     20060712    COKE                   54.6300               54.5900
003138    01     20060713    COKE                   53.6900               54.8700
003138    01     20060714    COKE                   52.8600               52.8300
003138    01     20060717    COKE                   52.9600               52.3300
003138    01     20060718    COKE                   53.5300               53.0000
003138    01     20060719    COKE                   54.7900               53.9500
003138    01     20060720    COKE                   54.3900               54.8000
003138    01     20060721    COKE                   53.8500               54.0500
003138    01     20060724    COKE                   57.9700               54.1900
003138    01     20060725    COKE                   59.4000               57.6000
003138    01     20060726    COKE                   59.3000               59.0000
003138    01     20060727    COKE                   61.3700               59.3000
003138    01     20060728    COKE                   61.3100               60.9700
003138    01     20060731    COKE                   61.3300               59.2600
003138    01     20060801    COKE                   59.7100               61.1000
003138    01     20060802    COKE                   59.0800               60.0000
003138    01     20060803    COKE                   58.5900               58.2200
003138    01     20060804    COKE                   58.5000               59.7000
003138    01     20060807    COKE                   58.4200               58.6000
003138    01     20060808    COKE                   56.8000               58.6800
003138    01     20060809    COKE                   57.0100               57.0600
003138    01     20060810    COKE                   57.4100               56.3300
003138    01     20060811    COKE                   57.1600               57.5100
003138    01     20060814    COKE                   57.1100               57.0400
003138    01     20060815    COKE                   58.1700               57.9600
003138    01     20060816    COKE                   57.6400               57.1000
003138    01     20060817    COKE                   57.6400               57.5700
003138    01     20060818    COKE                   57.6600               57.7300
003138    01     20060821    COKE                   56.3500               57.0900
003138    01     20060822    COKE                   56.0800               56.0900
003138    01     20060823    COKE                   56.1700               56.0800
003138    01     20060824    COKE                   56.2900               56.0000
003138    01     20060825    COKE                   56.8300               55.9600
003138    01     20060828    COKE                   58.3700               56.8900
003138    01     20060829    COKE                   59.0000               58.4000
003138    01     20060830    COKE                   59.4600               59.9200
003138    01     20060831    COKE                   58.6000               59.3100
003138    01     20060901    COKE                   58.3800               58.0800
003138    01     20060905    COKE                   59.8900               57.7500
003138    01     20060906    COKE                   59.7800               59.0000
003138    01     20060907    COKE                   59.6700               59.1600
